Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HoF
A.C. Green,1361.0,905.0,28.69,3.51,7.12,0.49,0.09,0.37,0.25,3.42,6.74,0.51,0.5,2.39,3.27,0.73,2.63,4.81,7.44,1.08,0.81,0.41,1.11,1.9,9.5,No
A.J. Bramlett,8.0,0.0,7.62,0.5,2.62,0.19,0.0,0.0,0.0,0.5,2.62,0.19,0.19,0.0,0.0,0.0,1.5,1.25,2.75,0.0,0.12,0.0,0.38,1.62,1.0,No
A.J. English,151.0,18.0,20.58,4.09,9.39,0.44,0.06,0.43,0.14,4.03,8.96,0.45,0.44,1.72,2.21,0.78,0.93,1.16,2.09,2.12,0.38,0.16,1.34,1.9,9.95,No
A.J. Guyton,80.0,14.0,15.58,2.08,5.5,0.38,0.91,2.41,0.38,1.16,3.09,0.38,0.46,0.46,0.56,0.82,0.28,0.72,1.0,1.84,0.25,0.15,0.78,0.72,5.52,No
A.J. Hammons,22.0,0.0,7.41,0.77,1.91,0.4,0.23,0.45,0.5,0.55,1.45,0.37,0.46,0.41,0.91,0.45,0.36,1.27,1.64,0.18,0.05,0.59,0.45,0.95,2.18,No
A.J. Price,287.0,25.0,14.82,2.09,5.51,0.38,0.81,2.6,0.31,1.28,2.91,0.44,0.45,0.78,1.06,0.74,0.26,1.17,1.43,2.14,0.46,0.03,0.85,0.88,5.77,No
A.J. Wynder,6.0,0.0,6.5,0.5,2.0,0.25,0.0,0.17,0.0,0.5,1.83,0.27,0.25,1.0,1.33,0.75,0.17,0.33,0.5,1.33,0.17,0.0,0.67,0.17,2.0,No
Aaron Brooks,829.0,227.0,20.84,3.45,8.4,0.41,1.25,3.42,0.37,2.2,4.98,0.44,0.48,1.4,1.67,0.84,0.4,1.26,1.66,3.02,0.57,0.14,1.55,1.9,9.55,No
Aaron Gordon,403.0,314.0,28.58,4.81,10.74,0.45,1.09,3.43,0.32,3.72,7.31,0.51,0.5,2.04,2.91,0.7,1.59,4.83,6.42,2.39,0.77,0.64,1.39,2.02,12.76,No
Aaron Gray,387.0,93.0,11.67,1.32,2.6,0.51,0.0,0.01,0.0,1.32,2.59,0.51,0.51,0.56,0.98,0.57,1.34,2.3,3.64,0.65,0.29,0.27,0.81,2.06,3.19,No
Aaron Harrison,35.0,3.0,9.8,0.69,2.63,0.26,0.34,1.57,0.22,0.34,1.06,0.32,0.33,0.54,0.89,0.61,0.23,0.97,1.2,0.46,0.43,0.06,0.2,1.11,2.26,No
