Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,FT,FTA,FT%,TRB,AST,PF,PTS,HoF
A.W. Holt,6.0,2.33,0.17,1.33,0.12,0.17,1.33,0.12,0.33,0.5,0.67,0.67,0.0,0.17,0.67,No
Aaron James,356.0,21.55,4.52,9.4,0.48,4.52,9.4,0.48,1.72,2.26,0.76,4.13,1.04,2.73,10.76,No
Adrian Dantley,295.0,35.45,7.03,13.68,0.51,7.03,13.68,0.51,6.27,7.74,0.81,7.35,2.67,2.86,20.33,Yes
Adrian Smith,796.0,24.39,4.07,9.56,0.43,4.07,9.56,0.43,3.09,3.68,0.84,2.09,2.3,2.34,11.23,No
Al Attles,711.0,25.07,3.51,7.8,0.45,3.51,7.8,0.45,1.87,2.96,0.63,3.46,3.49,3.4,8.9,Yes
Al Bianchi,687.0,19.87,3.22,8.62,0.37,3.22,8.62,0.37,1.64,2.32,0.71,2.51,2.18,3.01,8.08,No
Al Butler,293.0,24.13,4.37,9.81,0.45,4.37,9.81,0.45,1.88,2.57,0.73,3.53,2.51,2.22,10.61,No
Al Carlson,28.0,9.96,0.96,2.82,0.34,0.96,2.82,0.34,0.64,1.04,0.62,2.61,0.46,1.39,2.57,No
Al Cervi,202.0,5.7,2.0,5.58,0.36,2.0,5.58,0.36,3.87,4.61,0.84,1.29,3.21,3.31,7.88,Yes
Al Eberhard,220.0,18.81,2.57,5.95,0.43,2.57,5.95,0.43,1.63,2.04,0.8,3.45,0.8,2.47,6.77,No
Al Ferrari,371.0,20.44,2.37,6.44,0.37,2.37,6.44,0.37,2.07,2.73,0.76,2.24,2.54,2.72,6.81,No
Al Fleming,20.0,4.85,0.75,1.55,0.48,0.75,1.55,0.48,0.5,0.85,0.59,1.5,0.35,0.8,2.0,No
Al Guokas,114.0,0.0,1.63,5.25,0.31,1.63,5.25,0.31,0.49,0.88,0.56,0.0,1.67,2.51,3.75,No
Al Hairston,42.0,7.0,0.98,2.9,0.34,0.98,2.9,0.34,0.21,0.36,0.6,0.98,1.05,0.9,2.17,No
Al Henry,49.0,9.12,1.41,3.31,0.43,1.41,3.31,0.43,1.14,1.63,0.7,3.02,0.16,0.88,3.96,No
Al Jackson,2.0,8.5,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.5,3.0,0.0,No
Al Masino,126.0,16.94,1.48,4.16,0.35,1.48,4.16,0.35,1.49,2.4,0.62,1.85,1.62,2.7,4.44,No
Al Miksis,8.0,0.0,0.62,2.62,0.24,0.62,2.62,0.24,2.12,2.62,0.81,0.0,0.5,2.75,3.38,No
Al Roges,84.0,25.45,2.89,8.04,0.36,2.89,8.04,0.36,1.73,2.42,0.71,2.82,2.13,2.35,7.51,No
Al Skinner,323.0,20.57,3.12,7.09,0.44,3.12,7.09,0.44,2.33,2.87,0.81,3.04,2.35,3.07,8.57,No
Al Tucker,402.0,20.03,3.74,8.19,0.46,3.74,8.19,0.46,1.66,2.38,0.7,4.7,0.85,2.09,9.14,No
Alan Sawyer,33.0,0.0,2.64,7.12,0.37,2.64,7.12,0.37,1.3,1.52,0.86,3.67,0.76,2.27,6.58,No
Alex English,223.0,21.96,4.65,9.02,0.52,4.65,9.02,0.52,1.45,1.94,0.75,5.46,1.91,2.11,10.76,Yes
Alex Groza,130.0,0.0,7.79,16.43,0.47,7.79,16.43,0.47,6.92,9.15,0.76,5.45,2.45,3.52,22.5,No
Alex Hannum,582.0,13.25,2.32,6.53,0.36,2.32,6.53,0.36,1.4,2.19,0.64,4.04,1.7,3.82,6.04,Yes
Alfred McGuire,191.0,15.53,1.31,3.47,0.38,1.31,3.47,0.38,1.34,2.42,0.55,2.19,1.9,2.62,3.96,Yes
Allan Bristow,365.0,17.99,2.92,6.31,0.46,2.92,6.31,0.46,1.77,2.26,0.78,3.49,2.35,1.83,7.61,No
Allen Murphy,2.0,9.0,0.5,2.5,0.2,0.5,2.5,0.2,1.5,3.5,0.43,2.0,0.0,2.5,2.5,No
Allie McGuire,2.0,5.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.5,1.0,2.0,No
Alonzo Bradley,77.0,13.55,2.17,5.09,0.43,2.17,5.09,0.43,0.84,1.19,0.71,1.88,0.92,1.51,5.18,No
Alvan Adams,299.0,30.81,7.2,14.75,0.49,7.2,14.75,0.49,3.2,4.25,0.75,8.86,4.54,3.42,17.61,No
Alvin Scott,162.0,20.22,2.42,4.72,0.51,2.42,4.72,0.51,1.56,2.22,0.7,4.43,1.32,1.83,6.4,No
Andre McCarter,60.0,12.23,1.98,4.32,0.46,1.98,4.32,0.46,0.53,0.75,0.71,0.93,1.65,1.07,4.5,No
Andre Wakefield,146.0,8.03,0.85,2.42,0.35,0.85,2.42,0.35,0.66,0.95,0.7,1.04,0.96,0.96,2.36,No
Andrew Levane,67.0,1.01,2.12,6.6,0.32,2.12,6.6,0.32,0.84,1.31,0.64,0.13,2.46,1.81,5.07,No
Andy Duncan,81.0,0.0,1.63,4.06,0.4,1.63,4.06,0.4,0.93,1.6,0.58,0.37,0.62,2.37,4.19,No
Andy Johnson,292.0,23.19,3.71,9.46,0.39,3.71,9.46,0.39,2.33,3.86,0.6,4.08,2.31,2.97,9.75,No
Andy O'Donnell,25.0,0.0,1.52,4.32,0.35,1.52,4.32,0.35,0.56,0.72,0.78,0.0,0.68,1.28,3.6,No
Andy Phillip,679.0,26.61,3.16,8.4,0.38,3.16,8.4,0.38,2.58,3.65,0.71,3.53,5.54,2.76,8.9,Yes
Andy Walker,40.0,10.95,1.8,3.9,0.46,1.8,3.9,0.46,0.9,1.18,0.77,1.88,0.8,1.48,4.5,No
Anthony Roberts,145.0,19.54,3.6,8.51,0.42,3.6,8.51,0.42,1.58,2.22,0.71,4.2,1.46,2.44,8.78,No
Archie Clark,802.0,33.5,6.74,14.09,0.48,6.74,14.09,0.48,3.67,4.78,0.77,3.36,5.13,2.49,17.15,No
Archie Dees,211.0,14.65,2.73,6.77,0.4,2.73,6.77,0.4,1.89,2.37,0.79,4.3,0.63,1.82,7.34,No
Ariel Maughan,103.0,0.0,2.31,8.0,0.29,2.31,8.0,0.29,2.48,3.18,0.78,1.37,1.45,2.57,7.1,No
Armond Hill,245.0,28.09,3.16,7.56,0.42,3.16,7.56,0.42,2.34,2.8,0.84,2.2,5.35,3.42,8.67,No
Arnie Ferrin,131.0,0.0,1.92,5.87,0.33,1.92,5.87,0.33,1.45,2.08,0.7,2.07,1.54,2.8,5.28,No
Arnie Johnson,272.0,15.23,2.4,5.73,0.42,2.4,5.73,0.42,3.94,5.36,0.74,4.68,2.39,4.01,8.74,No
Arnie Risen,577.0,21.99,3.93,10.46,0.38,3.93,10.46,0.38,3.65,5.18,0.71,8.68,1.66,3.87,11.5,Yes
Art Burris,115.0,8.94,0.97,3.7,0.26,0.97,3.7,0.26,0.63,0.99,0.64,2.64,0.7,1.64,2.58,No
Art Harris,319.0,21.19,3.79,9.57,0.4,3.79,9.57,0.4,1.29,2.05,0.63,2.31,2.73,2.91,8.86,No
Art Heyman,164.0,19.14,3.55,8.38,0.42,3.55,8.38,0.42,2.47,3.65,0.68,2.63,2.18,2.26,9.57,No
Art Spector,7.0,0.0,0.29,1.71,0.17,0.29,1.71,0.17,0.14,0.57,0.25,0.0,0.43,0.57,0.71,No
Art Spoelstra,345.0,18.99,2.68,6.88,0.39,2.68,6.88,0.39,1.78,2.57,0.69,4.65,0.94,3.0,7.13,No
Art Williams,541.0,17.24,2.17,5.31,0.41,2.17,5.31,0.41,0.97,1.33,0.73,3.14,4.39,2.28,5.32,No
Artis Gilmore,246.0,37.43,8.24,14.88,0.55,8.24,14.88,0.55,5.25,7.49,0.7,12.94,2.99,3.28,21.73,Yes
Austin Carr,558.0,31.2,6.96,15.49,0.45,6.96,15.49,0.45,2.85,3.5,0.81,3.16,2.99,2.19,16.77,No
Bailey Howell,950.0,32.24,6.86,14.3,0.48,6.86,14.3,0.48,4.99,6.55,0.76,9.88,1.95,3.68,18.71,Yes
Barney Cable,547.0,19.37,2.92,7.0,0.42,2.92,7.0,0.42,1.05,1.59,0.66,5.32,1.13,2.41,6.89,No
Barry Clemens,790.0,15.93,2.86,6.31,0.45,2.86,6.31,0.45,1.0,1.32,0.76,3.21,1.15,2.11,6.72,No
Barry Kramer,104.0,9.75,1.21,3.58,0.34,1.21,3.58,0.34,1.15,1.62,0.71,1.92,0.79,1.29,3.58,No
Barry Nelson,28.0,3.64,0.54,1.29,0.42,0.54,1.29,0.42,0.18,0.36,0.5,0.71,0.25,0.75,1.25,No
Barry Orms,64.0,14.31,1.19,3.84,0.31,1.19,3.84,0.31,0.45,0.94,0.48,2.47,0.77,2.42,2.83,No
Barry Yates,24.0,6.0,1.29,3.46,0.37,1.29,3.46,0.37,0.29,0.46,0.64,1.67,0.29,0.58,2.88,No
Bato Govedarica,23.0,11.22,1.09,3.43,0.32,1.09,3.43,0.32,1.09,1.61,0.68,0.78,1.04,1.91,3.26,No
Bayard Forrest,139.0,15.32,1.65,3.67,0.45,1.65,3.67,0.45,0.8,1.57,0.51,4.06,2.13,1.84,4.09,No
Belus Smawley,192.0,0.72,4.19,11.57,0.36,4.19,11.57,0.36,3.79,4.51,0.84,1.95,2.84,2.39,12.17,No
Ben Clyde,25.0,6.28,1.24,2.88,0.43,1.24,2.88,0.43,0.28,0.36,0.78,1.64,0.2,1.36,2.76,No
Ben Kelso,46.0,6.48,0.76,2.09,0.36,0.76,2.09,0.36,0.33,0.48,0.68,0.67,0.39,0.98,1.85,No
Ben Poquette,128.0,15.34,2.29,5.38,0.43,2.29,5.38,0.43,1.2,1.58,0.76,3.76,0.6,2.09,5.77,No
Ben Warley,345.0,15.74,2.08,5.04,0.41,2.08,5.04,0.41,1.83,2.55,0.72,5.05,0.66,2.67,5.98,No
Bennie Swain,58.0,12.21,1.71,4.21,0.41,1.71,4.21,0.41,1.16,1.9,0.61,4.52,0.5,2.19,4.57,No
